id,training_name,description,completion_date,expiry_date,person_id,is_required
33,GAAP Accounting Standards,Generally accepted accounting principles,2024-02-25,2025-02-25,112,true
34,Workplace Safety Fundamentals,Basic safety protocols and emergency procedures,2024-01-20,2025-01-20,113,true
35,Investment Portfolio Management,Asset allocation strategies,2024-02-15,2025-02-15,113,true
36,Bloomberg Terminal Certification,Financial data platform training,2024-03-20,2025-03-20,113,false
37,Enterprise Risk Assessment,Comprehensive risk evaluation,2024-01-25,2025-01-25,114,true
38,ISO 31000 Risk Standards,International risk management standards,2024-02-28,2026-02-28,114,true
39,Workplace Safety Fundamentals,Basic safety protocols and emergency procedures,2024-02-05,2025-02-05,115,true
40,Process Optimization,Operational efficiency improvement,2024-03-08,2025-03-08,115,false
41,SOX Compliance Training,Sarbanes-Oxley regulatory compliance,2024-01-18,2025-01-18,116,true
42,AML and KYC Procedures,Anti-money laundering protocols,2024-02-22,2025-02-22,116,true
43,Information Security Awareness,Cybersecurity best practices and data protection,2024-03-15,2025-03-15,117,true
44,Internal Audit Standards,Audit methodology and procedures,2024-02-10,2025-02-10,117,true
45,HIPAA Compliance,Healthcare privacy regulations,2024-01-10,2025-01-10,118,true
46,Patient Care Excellence,Quality patient care standards,2024-02-15,2025-02-15,118,true
47,Emergency Response Protocols,Medical emergency procedures,2024-03-20,2025-03-20,118,true
48,Medical Laboratory Safety,Lab safety and handling procedures,2024-01-22,2025-01-22,119,true
49,Quality Control in Healthcare,Medical quality assurance,2024-02-28,2025-02-28,119,true
50,CLIA Certification Training,Clinical laboratory standards,2024-01-15,2026-01-15,120,true
51,Laboratory Management,Lab operations and supervision,2024-02-20,2025-02-20,120,true
52,HIPAA Compliance,Healthcare privacy regulations,2024-03-12,2025-03-12,121,true
53,Patient Communication Skills,Effective patient interaction,2024-02-18,2025-02-18,121,false
54,Healthcare Administration,Medical office management,2024-01-25,2025-01-25,122,true
55,Medical Billing and Coding,Healthcare billing procedures,2024-02-22,2025-02-22,122,false
56,Instructional Design Principles,Educational content development,2024-01-20,2025-01-20,123,true
57,Learning Assessment Methods,Student evaluation techniques,2024-02-25,2025-02-25,123,false
58,Workplace Safety Fundamentals,Basic safety protocols and emergency procedures,2024-03-10,2025-03-10,124,true
59,E-Learning Platform Training,Digital learning management systems,2024-02-15,2025-02-15,124,true
60,Educational Technology Integration,Technology in classroom settings,2024-01-28,2025-01-28,125,true
61,Student Engagement Strategies,Active learning techniques,2024-02-20,2025-02-20,125,false
62,Network Security Fundamentals,IT infrastructure protection,2024-01-15,2025-01-15,126,true
63,Linux System Administration,Server management basics,2024-02-18,2025-02-18,126,true
64,Information Security Awareness,Cybersecurity best practices and data protection,2024-03-15,2025-03-15,127,true
65,Technical Support Best Practices,Customer service for IT,2024-02-22,2025-02-22,127,false
66,Renewable Energy Systems,Solar and wind technology,2024-01-20,2025-01-20,128,true
67,Energy Efficiency Standards,Green building certifications,2024-02-25,2025-02-25,128,true
68,Workplace Safety Fundamentals,Basic safety protocols and emergency procedures,2024-03-18,2025-03-18,129,true
69,Solar Panel Installation,Photovoltaic system installation,2024-02-10,2026-02-10,129,true
70,Electrical Safety Certification,High-voltage safety procedures,2024-01-15,2026-01-15,129,true
71,Project Management Professional,PMP certification prep,2024-01-25,2026-01-25,130,true
72,Agile Project Management,Scrum master certification,2024-02-20,2025-02-20,130,false
73,Laboratory Research Methods,Scientific research protocols,2024-01-30,2025-01-30,131,true
74,Environmental Impact Assessment,Sustainability evaluation,2024-02-28,2025-02-28,131,false
75,Workplace Safety Fundamentals,Basic safety protocols and emergency procedures,2024-03-12,2025-03-12,132,true
76,Lab Equipment Maintenance,Scientific instrument care,2024-02-15,2025-02-15,132,false
77,Retail Management Fundamentals,Store operations and sales,2024-01-18,2025-01-18,133,true
78,Customer Service Excellence,Customer satisfaction strategies,2024-02-22,2025-02-22,133,true
79,Workplace Safety Fundamentals,Basic safety protocols and emergency procedures,2024-03-10,2025-03-10,134,true
80,Inventory Management Systems,Stock control procedures,2024-02-18,2025-02-18,134,false
81,Sales Techniques Workshop,Effective selling strategies,2024-01-20,2025-01-20,135,false
82,Point of Sale Systems,POS software training,2024-02-25,2025-02-25,135,false
83,Supply Chain Analytics,Data-driven supply chain management,2024-01-15,2025-01-15,136,true
84,Procurement Best Practices,Strategic sourcing methods,2024-02-20,2025-02-20,136,false
85,Information Security Awareness,Cybersecurity best practices and data protection,2024-03-15,2025-03-15,137,true
86,Warehouse Management,Inventory control systems,2024-02-28,2025-02-28,137,false
87,Manufacturing Safety Standards,Industrial safety compliance,2024-01-22,2025-01-22,138,true
88,Lean Manufacturing Principles,Efficiency and waste reduction,2024-02-18,2025-02-18,138,true
89,Workplace Safety Fundamentals,Basic safety protocols and emergency procedures,2024-03-20,2025-03-20,139,true
90,Equipment Operation Certification,Machine safety training,2024-02-10,2026-02-10,139,true
91,Industrial Equipment Safety,Heavy machinery operation,2024-01-25,2026-01-25,140,true
92,Preventive Maintenance,Equipment upkeep procedures,2024-02-22,2025-02-22,140,false
93,ISO 9001 Quality Standards,International quality management,2024-01-15,2026-01-15,141,true
94,Statistical Process Control,Quality metrics and analysis,2024-02-20,2025-02-20,141,true
95,Workplace Safety Fundamentals,Basic safety protocols and emergency procedures,2024-03-18,2025-03-18,142,true
96,Root Cause Analysis,Problem-solving methodologies,2024-02-25,2025-02-25,142,false
97,Consulting Skills Development,Client engagement strategies,2024-01-20,2025-01-20,143,true
98,Business Strategy Framework,Strategic planning methods,2024-02-18,2025-02-18,143,true
99,Workplace Safety Fundamentals,Basic safety protocols and emergency procedures,2024-03-15,2025-03-15,144,true
100,Change Management Certification,Organizational change leadership,2024-02-22,2026-02-22,144,true
101,Market Research Methods,Data collection and analysis,2024-01-28,2025-01-28,145,false
102,Competitive Analysis,Industry and competitor evaluation,2024-02-15,2025-02-15,145,false
103,Client Relationship Management,Customer success strategies,2024-01-25,2025-01-25,146,true
104,CRM Software Training,Salesforce platform basics,2024-02-20,2025-02-20,146,false
105,Information Security Awareness,Cybersecurity best practices and data protection,2024-03-12,2025-03-12,147,true
106,Account Management Best Practices,Client retention strategies,2024-02-28,2025-02-28,147,false
107,Content Writing Masterclass,Professional writing techniques,2024-01-18,2025-01-18,148,false
108,SEO Fundamentals,Search engine optimization,2024-02-22,2025-02-22,148,false
109,Workplace Safety Fundamentals,Basic safety protocols and emergency procedures,2024-03-20,2025-03-20,149,true
110,Video Production Techniques,Professional video editing,2024-02-15,2025-02-15,149,false
111,Adobe Creative Suite,Design software mastery,2024-01-22,2025-01-22,150,false
112,Brand Identity Design,Visual branding principles,2024-02-18,2025-02-18,150,false
113,Social Media Strategy,Platform-specific marketing,2024-01-15,2025-01-15,151,true
114,Content Marketing Certification,Inbound marketing methods,2024-02-20,2025-02-20,151,false
115,Information Security Awareness,Cybersecurity best practices and data protection,2024-03-18,2025-03-18,152,true
116,Google Analytics Advanced,Web analytics certification,2024-02-25,2025-02-25,152,false
117,Legal Research Methods,Case law and statute research,2024-01-20,2025-01-20,153,true
118,Contract Law Fundamentals,Contract drafting and review,2024-02-28,2025-02-28,153,true
119,Workplace Safety Fundamentals,Basic safety protocols and emergency procedures,2024-03-15,2025-03-15,154,true
120,Legal Document Management,File organization systems,2024-02-22,2025-02-22,154,false
121,E-Discovery Training,Electronic evidence procedures,2024-01-25,2025-01-25,155,true
122,Deposition Techniques,Legal testimony procedures,2024-02-18,2025-02-18,155,false
123,Litigation Support Technology,Legal software systems,2024-01-30,2025-01-30,156,true
124,Trial Preparation Methods,Court case organization,2024-02-20,2025-02-20,156,false
125,Information Security Awareness,Cybersecurity best practices and data protection,2024-03-22,2025-03-22,157,true
126,Case Management Systems,Legal CRM platforms,2024-02-15,2025-02-15,157,false
127,Real Estate Law Basics,Property transaction regulations,2024-01-18,2025-01-18,158,true
128,Negotiation Skills Workshop,Deal closing techniques,2024-02-25,2025-02-25,158,false
129,Property Management Certification,Landlord-tenant law and operations,2024-01-22,2026-01-22,159,true
130,Maintenance Coordination,Property upkeep management,2024-02-28,2025-02-28,159,false
131,Workplace Safety Fundamentals,Basic safety protocols and emergency procedures,2024-03-20,2025-03-20,160,true
132,Commercial Real Estate Finance,Investment property analysis,2024-02-18,2025-02-18,160,true
133,Fair Housing Regulations,Housing discrimination law,2024-01-15,2025-01-15,161,true
134,Leasing Procedures,Tenant screening and contracts,2024-02-22,2025-02-22,161,false
135,Market Analysis for Real Estate,Property valuation methods,2024-01-28,2025-01-28,162,true
136,Real Estate Investment Strategies,Portfolio management,2024-02-20,2025-02-20,162,false
137,Food Safety Certification,ServSafe manager training,2024-01-20,2026-01-20,163,true
138,Culinary Techniques Advanced,Professional cooking methods,2024-02-25,2025-02-25,163,false
139,Workplace Safety Fundamentals,Basic safety protocols and emergency procedures,2024-03-18,2025-03-18,164,true
140,Kitchen Sanitation Standards,Food handling protocols,2024-02-15,2025-02-15,164,true
141,Food Safety Certification,ServSafe manager training,2024-01-25,2026-01-25,165,true
142,Knife Skills Workshop,Culinary knife techniques,2024-02-28,2025-02-28,165,false
143,Restaurant Management,Front-of-house operations,2024-01-22,2025-01-22,166,true
144,Staff Training and Development,Employee management in hospitality,2024-02-20,2025-02-20,166,false
145,Customer Service in Hospitality,Guest satisfaction strategies,2024-01-15,2025-01-15,167,false
146,POS System Training,Restaurant technology,2024-02-18,2025-02-18,167,false
147,Transportation Safety Regulations,DOT compliance training,2024-01-20,2025-01-20,168,true
148,Route Optimization,Logistics planning software,2024-02-25,2025-02-25,168,false
149,Workplace Safety Fundamentals,Basic safety protocols and emergency procedures,2024-03-22,2025-03-22,169,true
150,GIS Mapping for Transportation,Geographic information systems,2024-02-28,2025-02-28,169,false
